,mat_time,interest_rate_time,gdp_time,uer_time,FICO_orig_time,LTV,HPI,balance,gdp,payoff_time,investor_orig_time,default_time,gdp
101,mat_time_G2,interest_rate_time_G2,gdp_time_G1,uer_time_G1,FICO_orig_time_G1,LTV_G2,HPI_G3,balance_G2,gdp_time_pos,1,0,0,gdp_time_pos
102,mat_time_G2,interest_rate_time_G2,gdp_time_G2,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G3,balance_G3,gdp_time_pos,1,0,0,gdp_time_pos
103,mat_time_G2,interest_rate_time_G2,gdp_time_G1,uer_time_G1,FICO_orig_time_G1,LTV_G3,HPI_G2,balance_G3,gdp_time_pos,1,0,0,gdp_time_pos
104,mat_time_G2,interest_rate_time_G1,gdp_time_G1,uer_time_G1,FICO_orig_time_G1,LTV_G1,HPI_G3,balance_G2,gdp_time_pos,1,0,0,gdp_time_pos
105,mat_time_G2,interest_rate_time_G1,gdp_time_G1,uer_time_G1,FICO_orig_time_G2,LTV_G3,HPI_G1,balance_G3,gdp_time_nef,0,0,1,gdp_time_nef
106,mat_time_G2,interest_rate_time_G2,gdp_time_G2,uer_time_G2,FICO_orig_time_G2,LTV_G3,HPI_G1,balance_G1,gdp_time_pos,0,0,1,gdp_time_pos
107,mat_time_G2,interest_rate_time_G1,gdp_time_G1,uer_time_G1,FICO_orig_time_G1,LTV_G2,HPI_G2,balance_G2,gdp_time_pos,0,0,1,gdp_time_pos
108,mat_time_G2,interest_rate_time_G2,gdp_time_G1,uer_time_G1,FICO_orig_time_G1,LTV_G2,HPI_G3,balance_G2,gdp_time_pos,0,0,1,gdp_time_pos
109,mat_time_G2,interest_rate_time_G1,gdp_time_G1,uer_time_G2,FICO_orig_time_G1,LTV_G3,HPI_G1,balance_G1,gdp_time_pos,0,0,1,gdp_time_pos
110,mat_time_G2,interest_rate_time_G2,gdp_time_G2,uer_time_G1,FICO_orig_time_G1,LTV_G2,HPI_G2,balance_G2,gdp_time_pos,1,0,0,gdp_time_pos
